"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;code1;qte;dep;dep_aut;mnt_fact;ecart;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 10:04:32";="620003376";3410483;3410483;6;8452.62;8452.62;8452.62;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/28 12:52:23";="590782421";3401308;3401308;6;8452.62;8452.62;8452.62;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:23";="590782421";3454144;3454144;2;2817.54;2817.54;2817.54;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 14:31:15";="020000063";3441940;3441940;16;22540.32;22540.32;22540.32;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/29 11:59:23";="020000261";3401308;3401308;3;4470.63;4470.63;4470.63;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/30 15:54:23";="620100685";3401308;3401308;46;65047.74;65047.74;65047.74;0;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:23";="620100685";3407713;3407713;1;864;864;864;0;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:23";="620100685";3410483;3410483;3;4226.31;4226.31;4226.31;0;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:23";="620100685";3414541;3414541;1;972;972;972;0;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 17:55:28";="600100721";3401308;3401308;5;7206.73;7206.73;7206.73;0;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:28";="600100721";3410483;3410483;9;12678.93;12678.93;12678.93;0;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/09/05 14:40:24";="590780193";3420850;3420850;51;306000;306000;306000;0;2023.7;X590780193;05SEP23;14:38:10
"mco";"dgf";"2023";"7";"2023/09/05 14:40:24";="590780193";3435106;3435106;4;24000;24000;24000;0;2023.7;X590780193;05SEP23;14:38:10
"mco";"dgf";"2023";"7";"2023/09/05 14:40:24";="590780193";3471600;3471600;45;270000;270000;270000;0;2023.7;X590780193;05SEP23;14:38:10
"mco";"dgf";"2023";"7";"2023/09/05 14:40:24";="590780193";3474655;3474655;110;660000;660000;660000;0;2023.7;X590780193;05SEP23;14:38:10
"mco";"dgf";"2023";"7";"2023/09/05 14:40:24";="590780193";8141763;8141763;4;823.24;823.24;823.24;0;2023.7;X590780193;05SEP23;14:38:10
