"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;dmt;PU;nb;mnt_br;mnt_remb;nb_fides;mnt_br_fides;mnt_remb_fides;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/10 13:22:55";="590780227";FTN;035;93.03;6458.2;600806.346;600806.346;5390.65;501492.1695;501492.1695;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:55";="590780227";FTN;035;166.05;6;996.3;996.3;6;996.3;996.3;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:55";="590780227";FTN;753;166.05;3132;520068.6;520068.6;3119;517909.95;517909.95;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:55";="590780227";FTR;035;55.66;1.15;64.009;64.009;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/24 09:38:59";="590781605";FTN;035;93.03;5816.7;541127.601;541127.601;5243.85;487835.3655;487835.3655;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:59";="590781605";FTN;753;119.68;2946;352577.28;352577.28;2941;351978.88;351978.88;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:59";="590781605";FTN;753;166.05;1722;285938.1;285938.1;1690;280624.5;280624.5;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:59";="590781605";FTN;753;195.91;960;188073.6;188073.6;960;188073.6;188073.6;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 12:29:50";="020000253";FTN;035;93.03;2635.7;245199.171;245196.99689;2328.8;216648.264;216646.1178;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:50";="020000253";FTR;035;55.66;394.05;21932.823;21932.730604;360.7;20076.562;20076.469604;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/25 11:33:17";="600100648";FTN;035;93.03;3769.8;350704.494;350702.08592;2917.05;271373.1615;271370.75342;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 12:07:05";="620101337";FTN;035;13.95;2410;33619.5;33619.498605;2023;28220.85;28220.848605;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:05";="620101337";FTN;035;93.03;5633;524037.99;524037.9807;4545;422821.35;422821.3407;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:05";="620101337";FTN;753;166.05;2540;421767;421766.6845;2538;421434.9;421434.5845;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:05";="620101337";FTN;753;195.91;2573;504076.43;504076.41041;2424;474885.84;474885.82041;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:05";="620101337";FTR;035;8.35;415;3465.25;3465.25;184;1536.4;1536.4;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:05";="620101337";FTR;035;55.66;1006;55993.96;55993.96;443;24657.38;24657.38;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/28 12:52:22";="590782421";FTN;035;68.88;12;826.56;826.56;2;137.76;137.76;2023.7;X590782421;28AUG23;12:51:57
