"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;PU;nb;mnt_br;mnt_remb;nb_fides;mnt_br_fides;mnt_remb_fides;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/09 14:38:44";="600100168";SE1;81.41;154;12167.29437;10863.655687;0;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:44";="600100168";SE1;85.78;435;36131.43669;32294.028931;0;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:44";="600100168";SE2;65.14;34;2149.42458;2149.42458;0;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:44";="600100168";SE2;68.64;71;4718.951952;4692.3663072;0;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:44";="600100168";SE3;43.41;1;42.129405;42.129405;0;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:44";="600100168";SE3;45.74;2;88.580084;88.580084;0;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:44";="600100168";SE4;21.7;15;315.89775;286.41396;0;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:44";="600100168";SE4;22.87;55;1217.976155;1093.9640374;0;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/10 13:22:55";="590780227";SE1;81.41;214;17322.436082;15169.273466;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:55";="590780227";SE1;85.78;668;57031.725112;50211.371115;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:55";="590780227";SE2;65.14;12;777.224424;738.3632028;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:55";="590780227";SE2;68.64;30;2049.52176;1899.2234976;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:55";="590780227";SE3;43.41;43;1855.990209;1579.7498058;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:55";="590780227";SE3;45.74;89.5;4074.489469;3519.0842006;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:55";="590780227";SE4;21.7;72;1553.49432;1333.415958;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:55";="590780227";SE4;22.87;141;3209.514051;2777.026342;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:55";="590780227";SE6;293.96;2;584.568856;526.1119704;0;0;0;2023.7;X590780227;10AUG23;13:22:39
