"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;nb22a;dep22a;dep22_vala;nb22b;dep22b;dep22_valb;nbt22a;nbt22b;valo;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890000345;9000034;9000034;I000505;258;16564.947;16711.8495;258;16564.947;16711.8495;258;258;3.637979E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890000345;9000034;9000034;I999999;18;1155.694;1165.943;18;1155.694;1165.943;18;18;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890000413;9000041;9000041;I000572;2;72207.78;71942.008;1;36103.89;35971.004;2;1;35971.004;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890000413;9000041;9000041;I999999;2;71660.87;71801.439;2;71660.87;71801.439;2;2;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890000994;9000099;9000099;I000029;554.291;93205.21;218544.78178;553.491;93070.688;218229.35918;571.147;570.347;315.4226;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890000994;9000099;9000099;I000030;139.212;23408.791;54888.236324;139.212;23408.791;54888.236324;139.212;139.212;-7.27596E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890000994;9000099;9000099;I000031;107.189;18024.044;42262.264178;107.189;18024.044;42262.264178;107.189;107.189;-7.27596E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890000994;9000099;9000099;I000032;58.006;9753.829;22870.491712;58.006;9753.829;22870.491712;58.006;58.006;-3.63798E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890000994;9000099;9000099;I000036;104.514;17574.243;41207.573328;104.514;17574.243;41207.573328;104.514;104.514;1.455192E-11;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890000994;9000099;9000099;I000408;35.105;5902.981;13841.13171;35.105;5902.981;13841.13171;35.105;35.105;-1.81899E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890000994;9000099;9000099;I999999;5629.731;946758.088;2219732.8597;5612.317;943829.888;2212866.902;5744.482;5727.068;6865.957628;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890002554;9000255;9000255;I000560;574;84914.565;85079.6525;574;84914.565;85079.6525;574;574;1.455192E-11;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890002554;9000255;9000255;I999999;107;15829.02;15859.795;107;15829.02;15859.795;107;107;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890004022;9000402;9000402;I000372;475.775;26912.721;33343.202749;462.026;26134.994;32441.934642;475.775;462.026;901.2681065;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890004022;9000402;9000402;I000373;76.774;4342.807;5094.123086;76.774;4342.807;5094.123086;76.774;76.774;-9.09495E-13;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890004022;9000402;9000402;I000374;833.494;47147.481;57584.556295;829.253;46907.585;57306.552587;833.494;829.253;278.0037085;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890004022;9000402;9000402;I999999;438.519;25069.981;29699.141199;437.993;25040.227;29664.660968;438.519;437.993;34.480231;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890004206;9000420;9000420;I000237;8;424.55;1265.947;8;424.55;1265.947;8;8;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890004206;9000420;9000420;I999999;34;1804.338;5380.275;34;1804.338;5380.275;34;34;9.094947E-13;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890004220;9000422;9000422;I000237;33;1073.962;3394.154;33;1073.962;3394.154;33;33;4.547474E-13;2023.7;X590780193;05SEP23;14:08:27
