"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;indication;code1;nb22a;dep22a;dep22_vala;nb22b;dep22b;dep22_valb;valo;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";3400890000994;9000099;I000029;9000099;0.4;67.261;157.7113;0.4;67.261;157.7113;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";3400890006576;9000657;I000535;9000657;5;22211.5;22255.07;5;22211.5;22255.07;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";3400890006576;9000657;I999999;9000657;2;8884.6;8902.028;2;8884.6;8902.028;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";3400890007139;9000713;I000203;9000713;2;1810.28;2939.585;2;1810.28;2939.585;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";3400892182612;9218261;I000018;9218261;198;24195.572;24243.007;198;24195.572;24243.007;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";3400893287941;9328794;I999999;9328794;10;1169.565;1605.7825;10;1169.565;1605.7825;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";3400893326206;9332620;I999999;9332620;15;9727.81;10055.885;15;9727.81;10055.885;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";3400894023036;9402303;I000285;9402303;12;756.654;1188.129;12;756.654;1188.129;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";3400894023036;9402303;I000292;9402303;23;1450.256;2277.2485;23;1450.256;2277.2485;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";3400894023036;9402303;I999999;9402303;64;4035.492;6736.397;60;3783.274;6340.354;396.043;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";3400894197232;9419723;I000476;9419723;6;15820.2;15851.229;6;15820.2;15851.229;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";3400894197232;9419723;I999999;9419723;6;15820.2;15851.229;6;15820.2;15851.229;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";3400894258476;9425847;I000051;9425847;7;266.965;367.6955;7;266.965;367.6955;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";3400894258476;9425847;I000053;9425847;16;610.206;840.447;16;610.206;840.447;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";3400894258476;9425847;I999999;9425847;7;266.965;367.6955;7;266.965;367.6955;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";3400894258537;9425853;I999999;9425853;7;302.561;813.3055;7;302.561;813.3055;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";3400894274506;9427450;I999999;9427450;22;458.226;1339.156;6;124.971;365.2245;973.9315;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";3400894274674;9427467;I999999;9427467;11;1145.221;3347.7015;3;312.333;913.0095;2434.692;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";3400894293194;9429319;I999999;9429319;6;2562.912;2665.983;6;2562.912;2665.983;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";3400894335511;9433551;I999999;9433551;1;508.668;739.0025;1;508.668;739.0025;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";3400894387268;9438726;I999999;9438726;1;256.753;370.231;1;256.753;370.231;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";3400894495468;9449546;I000163;9449546;2.56;268.582;1029.53196;2.56;268.582;1029.53196;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";3400894495468;9449546;I000166;9449546;1.35;141.635;542.917225;1.35;141.635;542.917225;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";3400894495468;9449546;I000167;9449546;14.695;1541.723;5909.7544325;14.695;1541.723;5909.7544325;-9.09495E-13;2023.7;X590780193;05SEP23;14:08:27
