"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;code1;dep22a;nb22a;dep22_vala;dep22b;nb22b;dep22_valb;valo;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";3136384;3136384;1906.74;2;1916.28;1906.74;2;1916.28;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";3148588;3148588;567.32;1;570.16;567.32;1;570.16;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";3192477;3192477;14257.37;1;14328.685;14257.37;1;14328.685;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";3195843;3195843;517.426;1;545.213;517.426;1;545.213;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";3324387;3324387;553.38;1;560.69;553.38;1;560.69;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";3407430;3407430;3249.28;1;3265.535;3249.28;1;3265.535;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";3412370;3412370;2260.386;2;2271.693;2260.386;2;2271.693;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";3460245;3460245;2719.304;1;2771.052;2719.304;1;2771.052;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";3499780;3499780;855.44;1;859.72;855.44;1;859.72;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";8111680;8111680;614.362;2;644.321;614.362;2;644.321;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";8111845;8111845;492.252;1;516.236;492.252;1;516.236;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";8111880;8111880;75.66;1;79.36;75.66;1;79.36;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";8111940;8111940;2202.52;2;2310.26;2202.52;2;2310.26;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";8111970;8111970;1249.908;2;1310.934;1249.908;2;1310.934;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";8112017;8112017;227.06;1;238.165;227.06;1;238.165;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";8112030;8112030;227.304;2;238.432;227.304;2;238.432;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";8112098;8112098;620.841;2;623.9405;620.841;2;623.9405;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";8112158;8112158;326.35;4;334.415;326.35;4;334.415;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";8113011;8113011;2129.81;3;2185.15;2129.81;3;2185.15;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";8113040;8113040;855.311;3;896.8105;855.311;3;896.8105;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";8125391;8125391;1120.183;10;1125.7915;1120.183;10;1125.7915;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";8144537;8144537;44.185;1;44.4075;44.185;1;44.4075;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";8144603;8144603;951.332;3;981.376;951.332;3;981.376;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";8144610;8144610;352.108;3;363.224;352.108;3;363.224;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";8144626;8144626;645.23;1;665.605;645.23;1;665.605;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";8144661;8144661;2274.34;2;2346.17;2274.34;2;2346.17;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";8144690;8144690;1290.46;2;1632.01;1290.46;2;1632.01;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";8144709;8144709;1254.37;1;1293.98;1254.37;1;1293.98;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";8144744;8144744;740.371;3;744.0905;740.371;3;744.0905;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";8149173;8149173;163.37;2;164.745;163.37;2;164.745;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";8149180;8149180;1060.016;2;1070.228;1060.016;2;1070.228;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";8162222;8162222;621.698;12;777.049;621.698;12;777.049;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";8171310;8171310;1947.357;3;1948.6785;1947.357;3;1948.6785;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";8178447;8178447;123.716;4;151.118;123.716;4;151.118;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";8178453;8178453;309.605;8;137.12;309.605;8;137.12;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";8178571;8178571;53.335;2;73.8975;53.335;2;73.8975;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:39";="590780193";8427488;8427488;1400.399;3;1407.4045;1400.399;3;1407.4045;0;2023.7;X590780193;05SEP23;14:08:27
