"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;indication;code1;nb22a;dep22a;dep22_vala;nb22b;dep22b;dep22_valb;valo;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";3400890000994;9000099;I999999;9000099;1.75;294.266;689.9865;1.75;294.266;689.9865;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";3400892332086;9233208;I999999;9233208;9;20097.761;20138.4025;9;20097.761;20138.4025;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";3400893126523;9312652;I999999;9312652;14;7816.924;7839.312;14;7816.924;7839.312;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";3400893287941;9328794;I999999;9328794;9;1052.608;1445.204;9;1052.608;1445.204;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";3400893326206;9332620;I999999;9332620;13;8430.767;8715.0995;13;8430.767;8715.0995;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";3400893475676;9347567;I999999;9347567;1;279.678;280.2265;1;279.678;280.2265;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";3400893475966;9347596;I999999;9347596;2;1118.702;1120.901;2;1118.702;1120.901;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";3400893843734;9384373;I000088;9384373;19;1239.565;1241.9945;19;1239.565;1241.9945;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";3400894036913;9403691;I000231;9403691;3;4201.023;4380.234;3;4201.023;4380.234;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";3400894258476;9425847;I000051;9425847;14;533.93;735.391;14;533.93;735.391;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";3400894258476;9425847;I999999;9425847;7;266.965;367.6955;7;266.965;367.6955;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";3400894258537;9425853;I000051;9425853;1;43.223;64.1705;1;43.223;64.1705;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";3400894258537;9425853;I999999;9425853;7;302.561;813.3055;7;302.561;813.3055;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";3400894274506;9427450;I000231;9427450;1;20.828;60.8705;1;20.828;60.8705;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";3400894274674;9427467;I000231;9427467;1;104.111;304.3365;1;104.111;304.3365;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:40";="590780193";3400894293194;9429319;I999999;9429319;14;6014.372;6237.749;14;6014.372;6237.749;-9.09495E-13;2023.7;X590780193;05SEP23;14:08:27
