"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;code1;dep22a;nb22a;dep22_vala;dep22b;nb22b;dep22_valb;valo;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/05 14:09:41";="590780193";3121187;3121187;742.57;1;746.285;742.57;1;746.285;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:41";="590780193";8112098;8112098;1241.679;4;1247.8795;1241.679;4;1247.8795;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:41";="590780193";8112112;8112112;622.855;2;624.9475;622.855;2;624.9475;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:41";="590780193";8127645;8127645;164.63;1;165.455;164.63;1;165.455;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:41";="590780193";8127668;8127668;246.389;4;247.6145;246.389;4;247.6145;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:41";="590780193";8142403;8142403;103.25;1;103.765;103.25;1;103.765;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:41";="590780193";8147932;8147932;631.29;1;211;631.29;1;211;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:41";="590780193";8162222;8162222;362.613;7;453.2565;362.613;7;453.2565;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:41";="590780193";8178453;8178453;851.409;22;377.08;851.409;22;377.08;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:41";="590780193";8178571;8178571;26.667;1;36.9485;26.667;1;36.9485;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:41";="590780193";8183610;8183610;607.391;1;669.5755;607.391;1;669.5755;0;2023.7;X590780193;05SEP23;14:08:27
