"champ";"statut";"annee";"periode";"date du resultat";"ipe";_NAME_;COL1;COL2;col3;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";mnt_ghs;1281168.9193;1281168.9193;-6.98492E-10;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";mnt_sejc;-1123.202267;-1123.202267;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";mnt_ghs50;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";mnt_exh;20980.688867;20980.688867;-3.63798E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";mnt_9615;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";mnt_rap;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";mnt_ant;321.5614872;321.5614872;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";mnt_rdth;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";mnt_jrea;85694.621501;85694.621501;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";mnt_rep;8922.464144;8922.464144;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";mnt_nn1;13456.043232;13456.043232;1.818989E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";mnt_nn2;6868.5417312;6868.5417312;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";mnt_nn3;7265.7588784;7265.7588784;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";mnt_caisson;727.0879872;727.0879872;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";mnt_suppdia;1968.2674256;1968.2674256;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";mnt_sdc;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";mnt_sc;49331.838792;49331.838792;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";mnt_si;35748.029184;35748.029184;7.275958E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";mnt_tjp20_ame;673295.212;673295.212;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";mnt_fjs_ame;4960;4960;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";mnt_tot_ame_;2189585.8323;2189585.8323;-2.793968E-9;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:38";="590780193";mnt_tot;1511330.6203;1511330.6203;0;2023.7;X590780193;05SEP23;14:08:27
