"champ";"statut";"annee";"periode";"date du resultat";"ipe";_NAME_;cpt;mnt_init;mnt_new;diff;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/05 14:09:47";="590780193";ghs;1;8699.461071;8699.4610605;-0.00001049;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:47";="590780193";exh;2;9.3132257E-9;1.4901161E-8;5.5879354E-9;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:47";="590780193";exinf;3;4.656613E-10;4.656613E-10;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:47";="590780193";ghs50;4;324.42820159;324.42820159;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:47";="590780193";nn1;5;1.8626451E-9;4.656613E-10;-1.396984E-9;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:47";="590780193";nn2;6;-3.259629E-9;-4.190952E-9;-9.31323E-10;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:47";="590780193";nn3;7;2.7939677E-9;-5.587935E-9;-8.381903E-9;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:47";="590780193";rea;8;2.6077032E-8;-2.30968E-7;-2.57045E-7;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:47";="590780193";rep;9;11114.044399;11114.044399;3.7252903E-9;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:47";="590780193";si;10;-1.862645E-8;1.7508864E-7;1.937151E-7;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:47";="590780193";sc;11;-7.450581E-9;9.313226E-10;8.3819032E-9;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:47";="590780193";suppdia;12;1.164153E-10;-1.280569E-9;-1.396984E-9;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:47";="590780193";caisson;13;187475.54763;187475.54763;3.7252903E-9;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:47";="590780193";rdth;14;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:47";="590780193";po;15;15425.289046;15425.289046;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:47";="590780193";n9615;16;6699.4481002;6699.4481002;-1.16415E-10;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:47";="590780193";ant;17;-5.82077E-11;0;5.820766E-11;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:47";="590780193";rap;18;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:47";="590780193";sdc;19;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:47";="590780193";inno;20;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:47";="590780193";med;21;493176.46212;432801.60679;-60374.85533;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:47";="590780193";medapac;22;246609.11;254335.264;7726.154;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:47";="590780193";dmi;23;402223.1725;224237.8515;-177985.321;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:47";="590780193";ivg;24;5.820766E-11;-5.23869E-10;-5.82077E-10;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:47";="590780193";ame;25;3972.23485;3804.6665;-167.56835;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:47";="590780193";su;26;0;-1.16415E-10;-1.16415E-10;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:47";="590780193";tot;27;1375719.1979;1144917.6072;-230801.5907;2023.7;X590780193;05SEP23;14:08:27
