IPE;Champ;Statut;Annee;Period;Code;Intitule;Valeur
020000022;MCO;PUBLIC;2023;1;coefgeo;Coefficient géographique;1
020000022;MCO;PUBLIC;2023;1;eff;Nombre séjours/séances;1000
020000022;MCO;PUBLIC;2023;1;mnt_rdth;Valorisation 100% actes RDTH en Hospit.;0
020000022;MCO;PUBLIC;2023;1;mnt_rdth_am;Valorisation Am actes RDTH en Hospit.;0
020000022;MCO;PUBLIC;2023;1;mnt_ghs50;Valorisation 100% réhospitalisation même GHS (à déduire);0
020000022;MCO;PUBLIC;2023;1;mnt_ghs50_am;Valorisation AM réhospitalisation même GHS (à déduire);0
020000022;MCO;PUBLIC;2023;1;ghs50;Nombre réhospitalisation même GHS;0
020000022;MCO;PUBLIC;2023;1;mnt_caisson;Montant des actes de caisson hyperbare en sus;0
020000022;MCO;PUBLIC;2023;1;mnt_caisson_am;Montant des actes de caisson hyperbare AM;0
020000022;MCO;PUBLIC;2023;1;mnt_dia;Montant des séances de dialyse (HD et entrainement);0
020000022;MCO;PUBLIC;2023;1;mnt_dia_am;Montant des séances de dialyse AM;0
020000022;MCO;PUBLIC;2023;1;mnt_fi;Valorisation 100% séjours avec Forfait innovation;0
020000022;MCO;PUBLIC;2023;1;mnt_fi_am;Valorisation AM séjours avec Forfait innovation;0
020000022;MCO;PUBLIC;2023;1;mnt_exh;Valorisation 100% journées extrême haut;3860.68
020000022;MCO;PUBLIC;2023;1;mnt_exh_am;Valorisation AM journées extrême haut;3833.66
020000022;MCO;PUBLIC;2023;1;mnt_ghs;Valorisation 100% des GHS (y compris forfaits dialyse et innovation);313512.69
020000022;MCO;PUBLIC;2023;1;mnt_ghs_am;Valorisation AM des GHS (y compris forfaits dialyse et innovation);264560.62
020000022;MCO;PUBLIC;2023;1;mnt_jrea;Valorisation 100% suppléments de réanimation;0
020000022;MCO;PUBLIC;2023;1;mnt_jrea_am;Valorisation AM suppléments de réanimation;0
020000022;MCO;PUBLIC;2023;1;mnt_nn1;Valorisation 100% suppléments de néonat sans SI;0
020000022;MCO;PUBLIC;2023;1;mnt_nn1_am;Valorisation AM suppléments de néonat sans SI;0
020000022;MCO;PUBLIC;2023;1;mnt_nn2;Valorisation 100% suppléments de néonat avec SI;0
020000022;MCO;PUBLIC;2023;1;mnt_nn2_am;Valorisation AM suppléments de néonat avec SI;0
020000022;MCO;PUBLIC;2023;1;mnt_nn3;Valorisation 100% suppléments de réanimation néonat;0
020000022;MCO;PUBLIC;2023;1;mnt_nn3_am;Valorisation AM suppléments de réanimation néonat;0
020000022;MCO;PUBLIC;2023;1;mnt_po;Valorisation 100% prélévements dorgane;0
020000022;MCO;PUBLIC;2023;1;mnt_po_am;Valorisation AM prélévements dorgane;0
020000022;MCO;PUBLIC;2023;1;mnt_rep;Valorisation 100% suppléments de réanimation pédiatrique;0
020000022;MCO;PUBLIC;2023;1;mnt_rep_am;Valorisation AM suppléments de réanimation pédiatrique;0
020000022;MCO;PUBLIC;2023;1;mnt_sc_v;Valorisation 100% suppléments de surveillance continue validés ;0
020000022;MCO;PUBLIC;2023;1;mnt_sc_v_am;Valorisation AM suppléments de surveillance continue validés ;0
020000022;MCO;PUBLIC;2023;1;mnt_sejc;Valorisation 100% extrême bas (à déduire);0
020000022;MCO;PUBLIC;2023;1;mnt_sejc_am;Valorisation AM extrême bas (à déduire);0
020000022;MCO;PUBLIC;2023;1;mnt_si_v;Valorisation 100% suppléments de soins intensifs validés;0
020000022;MCO;PUBLIC;2023;1;mnt_si_v_am;Valorisation AM suppléments de soins intensifs validés;0
020000022;MCO;PUBLIC;2023;1;mnt_sdc;Valorisation 100% suppléments défibrillateur cardiaque;0
020000022;MCO;PUBLIC;2023;1;mnt_sdc_am;Valorisation AM suppléments défibrillateur cardiaque;0
020000022;MCO;PUBLIC;2023;1;mnt_suppdia;Montant des actes de dialyse en sus;0
020000022;MCO;PUBLIC;2023;1;mnt_suppdia_am;Montant des actes de dialyse en sus AM;0
020000022;MCO;PUBLIC;2023;1;mnt_tot;Total Valorisation 100%;317373.37
020000022;MCO;PUBLIC;2023;1;mnt_tot_am;Total Valorisation AM;268394.28
020000022;MCO;PUBLIC;2023;1;nb_9610;Nombre d'actes GHS 9610;0
020000022;MCO;PUBLIC;2023;1;nb_9619;Nombre d'actes GHS 9619;0
020000022;MCO;PUBLIC;2023;1;nb_9639;Nombre d'actes GHS 9639;0
020000022;MCO;PUBLIC;2023;1;nb_9620;Nombre d'actes GHS 9620;0
020000022;MCO;PUBLIC;2023;1;nb_9621;Nombre d'actes GHS 9621;0
020000022;MCO;PUBLIC;2023;1;nb_9622;Nombre d'actes GHS 9622;0
020000022;MCO;PUBLIC;2023;1;nb_9623;Nombre d'actes GHS 9623;0
020000022;MCO;PUBLIC;2023;1;nb_9625;Nombre d'actes GHS 9625;0
020000022;MCO;PUBLIC;2023;1;nb_9631;Nombre d'actes GHS 9631;0
020000022;MCO;PUBLIC;2023;1;nb_9632;Nombre d'actes GHS 9632;0
020000022;MCO;PUBLIC;2023;1;nb_9633;Nombre d'actes GHS 9633;0
020000022;MCO;PUBLIC;2023;1;nb_dia;Nombre de séances de dialyse;0
020000022;MCO;PUBLIC;2023;1;nb_dia_ent;Nombre de séances d'entrainement à la dialyse (HD et DP);0
020000022;MCO;PUBLIC;2023;1;nb_dia_hd;Nombre de séances d'hémodialyse;0
020000022;MCO;PUBLIC;2023;1;nbfi01;Nombre de séjours avec Forfait Innovation I01;0
020000022;MCO;PUBLIC;2023;1;nbfi02;Nombre de séjours avec Forfait Innovation I02;0
020000022;MCO;PUBLIC;2023;1;nbfi03;Nombre de séjours avec Forfait Innovation I03;0
020000022;MCO;PUBLIC;2023;1;nbfi04;Nombre de séjours avec Forfait Innovation I04;0
020000022;MCO;PUBLIC;2023;1;nbfi05;Nombre de séjours avec Forfait Innovation I05;0
020000022;MCO;PUBLIC;2023;1;nbfi061;Nombre de séjours avec Forfait Innovation I061;0
020000022;MCO;PUBLIC;2023;1;nbfi062;Nombre de séjours avec Forfait Innovation I062;0
020000022;MCO;PUBLIC;2023;1;nbfi07;Nombre de séjours avec Forfait Innovation I07;0
020000022;MCO;PUBLIC;2023;1;nbfi08;Nombre de séjours avec Forfait Innovation I08;0
020000022;MCO;PUBLIC;2023;1;nbfi09;Nombre de séjours avec Forfait Innovation I09;0
020000022;MCO;PUBLIC;2023;1;mnt_fi01;Montant Forfait Innovation I01;0
020000022;MCO;PUBLIC;2023;1;mnt_fi02;Montant Forfait Innovation I02;0
020000022;MCO;PUBLIC;2023;1;mnt_fi03;Montant Forfait Innovation I03;0
020000022;MCO;PUBLIC;2023;1;mnt_fi04;Montant Forfait Innovation I04;0
020000022;MCO;PUBLIC;2023;1;mnt_fi05;Montant Forfait Innovation I05;0
020000022;MCO;PUBLIC;2023;1;mnt_fi061;Montant Forfait Innovation I061;0
020000022;MCO;PUBLIC;2023;1;mnt_fi062;Montant Forfait Innovation I062;0
020000022;MCO;PUBLIC;2023;1;mnt_fi07;Montant Forfait Innovation I07;0
