"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;nb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:16";="800000036";Nombre RSA avec Diags COVID-19 (sauf U07.13);8;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:16";="800000036";Nombre RSA avec Diags COVID-19;8;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:16";="800000036";Nombre RSA correctement chainés;8;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:16";="800000036";Nombre RSA groupés en CM 90;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:13";="600100168";Nombre RSA avec Diags COVID-19 (sauf U07.13);26;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:13";="600100168";Nombre RSA avec Diags COVID-19;26;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:13";="600100168";Nombre RSA correctement chainés;26;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:13";="600100168";Nombre RSA groupés en CM 90;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:03";="020000022";Nombre RSA avec Diags COVID-19 (sauf U07.13);39;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:03";="020000022";Nombre RSA avec Diags COVID-19;39;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:03";="020000022";Nombre RSA correctement chainés;39;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:03";="020000022";Nombre RSA groupés en CM 90;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:02";="590782439";Nombre RSA avec Diags COVID-19 (sauf U07.13);22;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:02";="590782439";Nombre RSA avec Diags COVID-19;22;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:02";="590782439";Nombre RSA correctement chainés;22;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:02";="590782439";Nombre RSA groupés en CM 90;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:55:00";="590049565";Nombre RSA avec Diags COVID-19 (sauf U07.13);7;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:00";="590049565";Nombre RSA avec Diags COVID-19;7;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:00";="590049565";Nombre RSA correctement chainés;7;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:00";="590049565";Nombre RSA groupés en CM 90;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:38:39";="020000253";Nombre RSA avec Diags COVID-19 (sauf U07.13);102;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:39";="020000253";Nombre RSA avec Diags COVID-19;139;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:39";="020000253";Nombre RSA correctement chainés;139;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:39";="020000253";Nombre RSA groupés en CM 90;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:37:52";="620003376";Nombre RSA avec Diags COVID-19 (sauf U07.13);66;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:52";="620003376";Nombre RSA avec Diags COVID-19;77;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:52";="620003376";Nombre RSA correctement chainés;77;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:52";="620003376";Nombre RSA groupés en CM 90;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:05:56";="620101337";Nombre RSA avec Diags COVID-19 (sauf U07.13);218;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:56";="620101337";Nombre RSA avec Diags COVID-19;256;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:56";="620101337";Nombre RSA correctement chainés;252;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:56";="620101337";Nombre RSA groupés en CM 90;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:46:57";="800000077";Nombre RSA avec Diags COVID-19 (sauf U07.13);15;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:57";="800000077";Nombre RSA avec Diags COVID-19;15;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:57";="800000077";Nombre RSA correctement chainés;15;2023.7;X800000077;25AUG23;14:46:27
