"champ";"statut";"annee";"periode";"date du resultat";"ipe";cage;nbh;nbf;nb;pcth;pctf;pct;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";4;70;64;134;41.666666667;27.004219409;33.086419753;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";5;70;97;167;41.666666667;40.928270042;41.234567901;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";6;28;76;104;16.666666667;32.067510549;25.679012346;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:30:56";="600100168";2;47;1;48;1.7863930065;0.0455788514;0.9948186528;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:56";="600100168";3;26;26;52;0.9882174078;1.1850501367;1.0777202073;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:56";="600100168";4;1358;1283;2641;51.615355378;58.477666363;54.735751295;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:56";="600100168";5;1071;748;1819;40.70695553;34.092980857;37.699481865;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:56";="600100168";6;129;136;265;4.9030786773;6.1987237922;5.4922279793;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:14:32";="020000022";3;1;1;2;0.3717472119;0.3095975232;0.3378378378;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:32";="020000022";4;86;48;134;31.970260223;14.860681115;22.635135135;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:32";="020000022";5;120;137;257;44.609665428;42.414860681;43.412162162;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:32";="020000022";6;62;137;199;23.048327138;42.414860681;33.614864865;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:09:45";="590782439";3;6;12;18;1.2474012474;2.3255813953;1.8054162487;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:45";="590782439";4;251;187;438;52.182952183;36.240310078;43.931795386;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:45";="590782439";5;190;199;389;39.501039501;38.565891473;39.017051153;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:45";="590782439";6;34;118;152;7.0686070686;22.868217054;15.245737212;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:54:43";="590049565";4;14;13;27;16.091954023;18.309859155;17.088607595;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:43";="590049565";5;53;27;80;60.91954023;38.028169014;50.632911392;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:43";="590049565";6;20;31;51;22.988505747;43.661971831;32.278481013;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:38:06";="020000253";0;237;217;454;2.8966022977;2.8214796515;2.8602028602;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:06";="020000253";1;44;38;82;0.5377658274;0.4940839943;0.5166005166;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:06";="020000253";2;223;175;398;2.725494989;2.2753868158;2.5074025074;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:06";="020000253";3;175;187;362;2.1388413591;2.4314133403;2.2806022806;2023.7;X020000253;24AUG23;14:38:01
